Ticker,Company,Long Business Summary,Sector (Yahoo),Industry (Yahoo),Country,Market Cap,Current Price,52 Week High,Average Monthly Return,Previous Close,Dividend Yield,PE Ratio,Forward PE,PEG Ratio,Price to Book,Total Revenue,Debt to Equity,ROE,1y Return,Volatility,Website,News Summary,Latest_News_Title,Latest_News_Link,Sentiment,Confidence
AAPL,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple Vision Pro, Apple TV, Apple Watch, Beats products, and HomePod, as well as Apple branded and third-party accessories. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV, which offers exclusive original content and live sports; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers and resellers. The company was formerly known as Apple Computer, Inc. and changed its name to Apple Inc. in January 2007. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",Technology,Consumer Electronics,United States,3497589854987.8784,235.68046900000002,277.32,0.015119285469645524,231.13162499999999,0.38,36.344044,32.670273,,54.39591,361269368933.5808,152.411,1.7142199,0.08904190166091369,0.07113401877207913,https://www.apple.com,"Replacing Tim Cook, who has been at Apple since Steve Jobs hired him in 1998, will be a tall task.","Apple’s presumptive future CEO, John Ternus, has a tough act to follow",https://finance.yahoo.com/news/apples-presumptive-future-ceo-john-ternus-has-a-tough-act-to-follow-153029595.html,negative,0.4998730719089508
ABNB,Airbnb,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Consumer Cyclical,Travel Services,United States,60727105513.0624,99.18910600000001,163.93,-0.0023262226771983475,96.82787400000001,,27.204763,25.391111,,8.068639,10367718355.5584,26.458,0.30776,-0.13050757969671925,0.1084442431122203,https://www.airbnb.com,Shares of online accommodations platform Airbnb (NASDAQ:ABNB) jumped 3.1% in the afternoon session after comments from a key Federal Reserve official bolstered hopes for an interest rate cut.,Why Airbnb (ABNB) Stock Is Trading Up Today,https://finance.yahoo.com/news/why-airbnb-abnb-stock-trading-231101570.html,positive,0.9376792311668396
ADBE,Adobe Inc.,"Adobe Inc. operates as a technology company worldwide. Its Digital Media segment offers products and services that enable individuals, teams, and enterprises to create, publish, and promote content; Document Cloud, a cloud-based document services platform; and Creative Cloud, a subscription service that allows subscribers to use its creative products and applications (apps) integrated with cloud-delivered services across various surfaces and platforms. This segment serves photographers, video editors, graphic and experience designers, game developers, content creators, students, marketers, knowledge workers, and consumers. The company's Digital Experience segment provides an integrated platform; and products, services, and solutions that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. Its Publishing and Advertising segment offers e-learning, technical document publishing, web conferencing, document and forms platform, web application development, high-end printing, and Adobe Advertising solutions. It provides consulting, training, customer management, technical support, and learning services. The company offers its solutions to enterprise customers, and businesses and consumers; and licenses its products to end-user customers through app stores and website at adobe.com. It markets and distributes its products through distributors, retailers, software developers, mobile app stores, systems integrators, independent software vendors, value-added resellers, and original equipment and hardware manufacturers. The company has a strategic alliance with HUMAIN for the development of generative AI models and AI-powered applications. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",Technology,Software - Application,United States,119382325395.456,281.42933899999997,557.9,-0.002159893069568082,271.19444,,20.198755,15.77567,,11.568298,20123426711.1424,56.542,0.52875,-0.2709588742892351,0.10233624751079089,https://www.adobe.com,"A number of stocks jumped in the afternoon session after comments from a key Federal Reserve official bolstered hopes for an interest rate cut. The positive sentiment followed comments from New York Federal Reserve President John Williams, a voting member of the rate-setting Federal Open Market Committee (FOMC), who indicated he sees room for further policy easing. Following his remarks, the probability of a December rate cut surged from 39% to 71%, according to the CME FedWatch Tool, causing Tr","Intuit, Fastly, ZoomInfo, Alarm.com, and Adobe Stocks Trade Up, What You Need To Know",https://finance.yahoo.com/news/intuit-fastly-zoominfo-alarm-com-234604907.html,positive,0.8708147406578064
ADI,Analog Devices,"Analog Devices, Inc. engages in the design, manufacture, testing, and marketing of integrated circuits (ICs), software, and subsystems products in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, defense and healthcare, and communications markets through a direct sales force, third-party distributors, and independent sales representatives, as well as online. The company was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Technology,Semiconductors,United States,99216094715.0848,201.67699199999998,258.13,0.011878293599248472,195.49612,1.7,59.114506,30.811672,,3.3530583,9016776301.9776,25.541,0.05652,0.1122871841746928,0.07472374354281996,https://www.analog.com,Investors will be tracking retail earnings and economic data as the government works through a backlog of reports delayed by the shutdown.,"Economic data returns, retail earnings feature in holiday-shortened week: What to watch this week",https://finance.yahoo.com/news/economic-data-returns-retail-earnings-feature-in-holiday-shortened-week-what-to-watch-this-week-123746898.html,negative,0.6488602757453918
ADP,Automatic Data Processing,"Automatic Data Processing, Inc. provides cloud-based human capital management (HCM) solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. This segment's offerings include RUN Powered by ADP, a software platform for small business payroll, HR, and compliance; ADP Workforce Now, a HCM solution used across mid-sized and large businesses to manage employees; and ADP Lyric HCM, a solution for HR management, payroll, workforce management, talent, and data analytics. The PEO Services segment provides HR and employment administration outsourcing solutions under ADP TotalSource name to businesses through a co-employment model. The segment also provides guidance, user-friendly technology, comprehensive employee benefits, and a risk management, safety, and workers' compensation program. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Technology,Software - Application,United States,89011718055.5264,219.733472,329.93,0.009856060937311967,216.208986,2.69,25.011858,23.286108,,16.079279,18146241039.9744,154.917,0.70572996,-0.11727339534096659,0.06300157795715305,https://www.adp.com,"The gig economy is quietly propping up a cooling labor market as more Americans turn to Uber, DoorDash, and Instacart to replace shrinking wages and lost hours.","America’s labor market is cooling, and workers are quietly turning to Uber and DoorDash to fill the income gap",https://finance.yahoo.com/news/americas-labor-market-is-cooling-and-workers-are-quietly-turning-to-uber-and-doordash-to-fill-the-income-gap-100056832.html,negative,0.6736925840377808
ADSK,Autodesk,"Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide. It offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution; Autodesk Build, a toolset for managing, sharing, and accessing project documents for streamlined workflows between the office, trailer, and jobsite; Revit, a software built for building information modeling to help professionals design, build, and maintain energy-efficient buildings; Autodesk BIM Collaborate Pro, cloud-based design collaboration and design management software; BuildingConnected, a SaaS preconstruction solution; and Tandem, a cloud-based platform that transforms the built asset lifecycle. The company also provides AutoCAD software, a customizable and extensible CAD application for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; Fusion, a 3D CAD, computer-aided manufacturing, and computer-aided engineering tool; Inventor, a software solution that offers a set of tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; product design and manufacturing collection tools; and Vault, a data management software for managing data in one central location, accelerate design processes, and streamline internal/external collaboration. It offers Flow Production Tracking, a cloud-based production management software; Maya software that offers 3D modeling, animation, effects, rendering, and compositing solutions for film and video artists, game developers, and design visualization professionals; Media and Entertainment Collection that offers end-to-end creative tools for entertainment creation; and 3ds Max software, which provides 3D modeling, animation, and rendering solutions. The company sells its products and services through a network of resellers and distributors. The company has a strategic alliance with Eaton Corporation plc for the development of AI-Powered Digital Energy Twin and Software Tools. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Francisco, California.",Technology,Software - Application,United States,54008902003.097595,252.44348,329.09,0.003259720539487206,249.09695449999998,,60.58333,31.677557,,22.814999,5733800666.6751995,100.7,0.402,-0.016138374710048427,0.09145397859634447,https://www.autodesk.com,Investors will be tracking retail earnings and economic data as the government works through a backlog of reports delayed by the shutdown.,"Economic data returns, retail earnings feature in holiday-shortened week: What to watch this week",https://finance.yahoo.com/news/economic-data-returns-retail-earnings-feature-in-holiday-shortened-week-what-to-watch-this-week-123746898.html,negative,0.6488602757453918
AEP,American Electric Power,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, renewable, nuclear, hydro, solar, wind, and other energy sources; owns, operates, maintains, and invests in transmission infrastructure; and engages in wholesale energy trading and marketing business. It operates approximately 225,000 circuit miles of distribution lines that delivers electricity to 5.6 million customers; 40,000 circuit miles of transmission lines; and 23,000 MWs of regulated owned generating capacity. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",Utilities,Utilities - Regulated Electric,United States,56150003621.888,104.901204,124.8,0.010995181505124657,104.95329000000001,3.14,17.692533,20.516129,,2.1278768,18453202533.376,152.132,0.12923001,0.3558631106213788,0.05607098681791362,https://www.aep.com,"Utility companies like NRG Energy, Constellation Energy, and Clearway Energy are thriving on steady demand, low interest rates, and surging electricity needs from data centers and industrial expansion",5 Utility Stocks Outperforming The Market,https://finance.yahoo.com/news/5-utility-stocks-outperforming-market-000000796.html,positive,0.7865579128265381
AMAT,Applied Materials,"Applied Materials, Inc. engages in the provision of manufacturing equipment, services, and software to the semiconductor, display, and related industries. The company operates through three segments: Semiconductor Systems, Applied Global Services, and Display. The Semiconductor Systems segment develops, manufactures, and sells semiconductor capital equipment that is used to fabricate semiconductor chips or integrated circuits. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, and other equipment and factory automation software for semiconductor, display, and other products. The Display segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, smart phones, and other consumer-oriented devices and solar energy cells. It focused on device innovations for chipmakers serving ICAPS markets. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, Europe, and internationally. Applied Materials, Inc. was incorporated in 1967 and is headquartered in Santa Clara, California.",Technology,Semiconductor Equipment & Materials,United States,154914085861.78558,194.4587405,242.5,0.022725669028698152,191.181663,0.82,25.836794,23.117132,,8.71208,24626259911.0656,32.109,0.35508,0.3911782699966112,0.1088621600554296,https://www.appliedmaterials.com,"Wondering if Applied Materials is a smart buy at today's price? Let’s break down whether this tech leader is undervalued or riding a wave. The stock has delivered a 36.7% gain year-to-date and is up 183% over the past five years, but it's dipped slightly in the last week and month, hinting at shifting investor sentiment. Recent headlines around sector-wide innovation and expanded semiconductor demand have fueled interest, especially as new chip manufacturing investments make waves. Applied...",Assessing Applied Materials After Recent Partnerships and a 36.7% Year-to-Date Stock Rally,https://finance.yahoo.com/news/assessing-applied-materials-recent-partnerships-131227231.html,negative,0.5964329242706299
AMD,Advanced Micro Devices,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. It operates in three segments: Data Center, Client and Gaming, and Embedded. The company offers artificial intelligence (AI) accelerators, x86 microprocessors, and graphics processing units (GPUs) as standalone devices or as incorporated into accelerated processing units, chipsets, and data center and professional GPUs; and embedded processors and semi-custom system-on-chip (SoC) products, microprocessor and SoC development services and technology, data processing units, field programmable gate arrays (FPGA), system on modules, smart network interface cards, and adaptive SoC products. It provides processors under the AMD Ryzen, AMD Ryzen AI, AMD Ryzen PRO, AMD Ryzen Threadripper, AMD Ryzen Threadripper PRO, AMD Athlon, and AMD PRO A-Series brands; graphics under the AMD Radeon graphics and AMD Embedded Radeon graphics; professional graphics under the AMD Radeon Pro graphics brand; and AI and general-purpose compute infrastructure for hyperscale providers. The company offers data center graphics under the AMD Instinct accelerators and Radeon PRO V-series brands; server microprocessors under the AMD EPYC brand; low power solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, and AMD R-Series and G-Series brands; FPGA products under the Virtex-6, Virtex-7, Virtex UltraScale+, Kintex-7, Kintex UltraScale, Kintex UltraScale+, Artix-7, Artix UltraScale+, Spartan-6, and Spartan-7 brands; adaptive SOCs under the Zynq-7000, Zynq UltraScale+ MPSoC, Zynq UltraScale+ RFSoCs, Versal HBM, Versal Premium, Versal Prime, Versal AI Core, Versal AI Edge, Vitis, and Vivado brands; and compute and network acceleration board products under the Alveo and Pensando brands. It serves original equipment and design manufacturers, public cloud service providers, system integrators, distributors, and add-in-board manufacturers. The company was incorporated in 1969 and is headquartered in Santa Clara, California.",Technology,Semiconductors,United States,288002855213.4656,176.901418,267.08,0.026299670580607885,178.84596200000001,,106.13542,39.956863,,5.4574184,27802639422.2592,6.366,0.05317,0.6870601642085202,0.1667794256622432,https://www.amd.com,Investors will be tracking retail earnings and economic data as the government works through a backlog of reports delayed by the shutdown.,"Economic data returns, retail earnings feature in holiday-shortened week: What to watch this week",https://finance.yahoo.com/news/economic-data-returns-retail-earnings-feature-in-holiday-shortened-week-what-to-watch-this-week-123746898.html,negative,0.6488602757453918
AMGN,Amgen,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. The company's principal products include Enbrel for the treatment of rheumatoid arthritis, plaque psoriasis, and psoriatic arthritis; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with Behçet's disease; Prolia to treat postmenopausal women with osteoporosis; XGEVA for skeletal-related events prevention; Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization; Nplate for the treatment of patients with immune thrombocytopenia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; Aranesp to treat a lower-than-normal number of red blood cells and anemia; EVENITY for the treatment of osteoporosis in postmenopausal for men and women; Vectibix to treat patients with wild-type RAS metastatic colorectal cancer; BLINCYTO for the treatment of patients with acute lymphoblastic leukemia; TEPEZZA to treat thyroid eye disease; and KRYSTEXXA for the treatment of chronic refractory gout. It also markets other products, including Neulasta, MVASI, AMJEVITA/AMGEVITA, TEZSPIRE, Parsabiv, Aimovig, LUMAKRAS/LUMYKRAS, EPOGEN, KANJINTI, TAVNEOS, RAVICTI, UPLIZNA and PROCYSBI. The company serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with AstraZeneca plc for the development and commercialization of TEZSPIRE; Novartis Pharma AG to develop and commercialize Aimovig; UCB for the development and commercialization of EVENITY; Kyowa Kirin Co., Ltd. for rocatinlimab development and commercialization; and BeiGene, Ltd. for oncology products expansion and development. Amgen Inc. was incorporated in 1980 and is headquartered in Thousand Oaks, California.",Healthcare,Drug Manufacturers - General,United States,157784775055.7696,293.018474,345.84,0.011494052575444355,289.676289,2.82,26.105183,16.329947,,18.896042,31226423599.9232,567.491,0.8171,0.33719704169099496,0.06879058384457552,https://www.amgen.com,"With many of the former leaders correcting considerably, medical stocks have offered a rare bright spot.  Rising relative strength lines are making it clear that money is flowing to this area with ETFs like iShares Biotech ETF and SPDR Select Healthcare Select Sector SPDR Fund outperforming.  Amgen is the top weight in IBB according to iShares data.",Amgen Shines As Medical Sector Benefits From Sector Rotation,https://www.investors.com/research/swing-trading/amgen-shines-as-medical-sector-benefits-from-sector-rotation/?src=A00220&yptr=yahoo,positive,0.9326890110969543
